season,date,home_team,away_team,home_score,away_score,Tries_home,Tries_away,Conversions_home,Conversions_away,Penalties_home,Penalties_away,Drops_home,Drops_away
2024-2025,12.10.2024,Leicester Tigers,Northampton Saints,24,8,3,1,3,0,1,1,0,0
2024-2025,13.10.2024,Harlequins,Saracens,17,10,2,1,2,1,1,1,0,0
2024-2025,18.10.2024,Newcastle Red Bulls,Exeter Chiefs,24,18,3,2,3,1,0,2,1,0
2024-2025,18.10.2024,Northampton Saints,Sale Sharks,47,17,7,2,6,2,0,1,0,0
2024-2025,19.10.2024,Bristol Bears,Saracens,35,37,5,4,2,4,2,3,0,0
2024-2025,19.10.2024,Harlequins,Bath Rugby,24,26,3,4,3,3,1,0,0,0
2024-2025,20.10.2024,Leicester Tigers,Gloucester Rugby,29,26,4,4,3,3,1,0,0,0
2024-2025,25.10.2024,Bristol Bears,Northampton Saints,31,23,4,3,4,1,1,2,0,0
2024-2025,26.10.2024,Gloucester Rugby,Newcastle Red Bulls,36,7,6,1,3,1,0,0,0,0
2024-2025,26.10.2024,Bath Rugby,Sale Sharks,40,13,6,1,5,1,0,2,0,0
2024-2025,26.10.2024,Saracens,Leicester Tigers,29,32,4,3,3,2,1,2,0,0
2024-2025,27.10.2024,Exeter Chiefs,Harlequins,19,36,3,5,2,4,0,1,0,0
2024-2025,29.11.2024,Harlequins,Bristol Bears,24,48,4,6,2,6,0,2,0,0
2024-2025,29.11.2024,Newcastle Red Bulls,Saracens,17,12,2,2,2,1,1,0,0,0
2024-2025,30.11.2024,Northampton Saints,Gloucester Rugby,17,25,2,3,2,2,1,2,0,0
2024-2025,30.11.2024,Bath Rugby,Exeter Chiefs,19,15,3,2,2,1,0,1,0,0
2024-2025,01.12.2024,Sale Sharks,Leicester Tigers,39,25,6,3,3,2,1,2,0,0
2024-2025,20.12.2024,Gloucester Rugby,Harlequins,14,0,2,0,2,0,0,0,0,0
2024-2025,21.12.2024,Leicester Tigers,Bristol Bears,24,54,4,8,2,7,0,0,0,0
2024-2025,21.12.2024,Newcastle Red Bulls,Bath Rugby,15,40,2,6,1,5,1,0,0,0
2024-2025,21.12.2024,Sale Sharks,Exeter Chiefs,28,10,3,1,3,1,0,1,0,0
2024-2025,22.12.2024,Saracens,Northampton Saints,39,24,6,4,3,2,1,0,0,0
2024-2025,27.12.2024,Bristol Bears,Sale Sharks,0,38,0,4,0,3,0,3,0,1
2024-2025,28.12.2024,Bath Rugby,Saracens,68,10,9,1,8,1,0,1,0,0
2024-2025,28.12.2024,Northampton Saints,Newcastle Red Bulls,61,0,9,0,8,0,0,0,0,0
2024-2025,28.12.2024,Harlequins,Leicester Tigers,34,34,4,4,4,4,2,2,0,0
2024-2025,29.12.2024,Exeter Chiefs,Gloucester Rugby,22,15,3,2,2,1,1,1,0,0
2024-2025,03.01.2025,Newcastle Red Bulls,Harlequins,14,38,2,5,2,5,0,1,0,0
2024-2025,04.01.2025,Gloucester Rugby,Sale Sharks,36,20,5,3,4,1,1,1,0,0
2024-2025,04.01.2025,Leicester Tigers,Exeter Chiefs,28,15,4,2,4,1,0,1,0,0
2024-2025,04.01.2025,Saracens,Bristol Bears,35,26,5,4,2,3,2,0,0,0
2024-2025,05.01.2025,Northampton Saints,Bath Rugby,35,34,4,5,3,3,3,1,0,0
2024-2025,26.01.2025,Sale Sharks,Bath Rugby,23,32,3,4,1,3,2,2,0,0
2024-2025,25.01.2025,Exeter Chiefs,Saracens,31,22,5,3,3,2,0,1,0,0
2024-2025,25.01.2025,Gloucester Rugby,Leicester Tigers,38,31,5,4,5,4,1,1,0,0
2024-2025,24.01.2025,Harlequins,Northampton Saints,22,19,4,3,1,2,0,0,0,0
2024-2025,26.01.2025,Bristol Bears,Newcastle Red Bulls,55,35,8,5,6,5,1,0,0,0
2024-2025,21.03.2025,Northampton Saints,Leicester Tigers,0,33,0,4,0,2,0,3,0,0
2024-2025,23.03.2025,Bath Rugby,Gloucester Rugby,42,26,6,4,6,3,0,0,0,0
2024-2025,22.03.2025,Saracens,Harlequins,12,23,2,2,1,2,0,3,0,0
2024-2025,22.03.2025,Bristol Bears,Exeter Chiefs,52,38,8,6,6,4,0,0,0,0
2024-2025,21.03.2025,Newcastle Red Bulls,Sale Sharks,15,39,2,5,1,4,1,2,0,0
2024-2025,29.03.2025,Exeter Chiefs,Newcastle Red Bulls,17,15,3,2,1,1,0,1,0,0
2024-2025,29.03.2025,Gloucester Rugby,Bristol Bears,53,28,9,4,4,4,0,0,0,0
2024-2025,30.03.2025,Leicester Tigers,Saracens,22,29,3,4,2,3,0,0,1,1
2024-2025,29.03.2025,Bath Rugby,Harlequins,47,28,7,4,6,4,0,0,0,0
2024-2025,28.03.2025,Sale Sharks,Northampton Saints,27,24,4,4,2,2,1,0,0,0
2024-2025,20.04.2025,Bristol Bears,Leicester Tigers,19,36,3,5,2,4,0,1,0,0
2024-2025,19.04.2025,Saracens,Gloucester Rugby,36,14,6,2,3,2,0,0,0,0
2024-2025,19.04.2025,Exeter Chiefs,Bath Rugby,24,26,3,3,3,2,1,0,0,0
2024-2025,19.04.2025,Harlequins,Sale Sharks,29,43,4,7,3,4,1,0,0,0
2024-2025,18.04.2025,Newcastle Red Bulls,Northampton Saints,34,35,5,5,3,5,1,0,0,0
2024-2025,26.04.2025,Leicester Tigers,Harlequins,40,7,6,1,5,1,0,0,0,0
2024-2025,26.04.2025,Northampton Saints,Bristol Bears,48,31,7,5,5,3,1,0,0,0
2024-2025,26.04.2025,Bath Rugby,Newcastle Red Bulls,55,19,8,3,6,2,1,0,0,0
2024-2025,25.04.2025,Sale Sharks,Saracens,25,7,3,1,2,1,2,0,0,0
2024-2025,27.04.2025,Gloucester Rugby,Exeter Chiefs,79,17,13,3,7,1,0,0,0,0
2024-2025,10.05.2025,Saracens,Newcastle Red Bulls,75,28,11,4,10,4,0,0,0,0
2024-2025,11.05.2025,Exeter Chiefs,Northampton Saints,42,14,6,2,6,2,0,0,0,0
2024-2025,10.05.2025,Harlequins,Gloucester Rugby,38,19,6,3,4,2,0,0,0,0
2024-2025,09.05.2025,Leicester Tigers,Sale Sharks,44,34,5,5,5,3,3,1,0,0
2024-2025,10.05.2025,Bristol Bears,Bath Rugby,36,14,6,2,3,2,0,0,0,0
2024-2025,17.05.2025,Northampton Saints,Saracens,28,24,3,4,3,2,0,0,0,0
2024-2025,17.05.2025,Bath Rugby,Leicester Tigers,43,15,7,2,4,1,0,1,0,0
2024-2025,16.05.2025,Sale Sharks,Bristol Bears,41,27,5,5,5,1,2,0,0,0
2024-2025,18.05.2025,Harlequins,Exeter Chiefs,24,22,3,3,3,2,1,1,0,0
2024-2025,16.05.2025,Newcastle Red Bulls,Gloucester Rugby,12,26,2,3,1,2,0,0,0,0
2024-2025,31.05.2025,Exeter Chiefs,Sale Sharks,26,30,4,3,3,3,0,3,0,0
2024-2025,31.05.2025,Gloucester Rugby,Northampton Saints,41,26,7,4,3,3,0,0,0,0
2024-2025,31.05.2025,Leicester Tigers,Newcastle Red Bulls,42,20,6,2,6,2,0,2,0,0
2024-2025,31.05.2025,Bristol Bears,Harlequins,52,26,8,4,6,3,0,0,0,0
2024-2025,31.05.2025,Saracens,Bath Rugby,36,26,6,4,3,3,0,0,0,0
2025-2026,25.09.2025,Sale Sharks,Gloucester Rugby,27,10,4,1,2,1,1,1,0,0
2025-2026,26.09.2025,Harlequins,Bath Rugby,31,47,5,7,3,6,0,0,0,0
2025-2026,26.09.2025,Newcastle Red Bulls,Saracens,17,39,2,5,2,4,1,2,0,0
2025-2026,28.09.2025,Northampton Saints,Exeter Chiefs,33,33,5,5,4,4,0,0,0,0
2025-2026,28.09.2025,Bristol Bears,Leicester Tigers,42,24,5,4,4,2,3,0,0,0
2025-2026,03.10.2025,Bath Rugby,Sale Sharks,28,16,4,1,4,1,0,1,0,2
