"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
97;"Ross Barkley";"Aston Villa";20;507;3;1;2.16;0.97;0.38;0.17
98;"Virgil van Dijk";"Liverpool";37;3330;3;1;2.82;1.21;0.08;0.03
99;"Michael Keane";"Everton";14;1043;3;0;1.13;0.12;0.1;0.01
100;"Abdoulaye Doucouré";"Everton";33;2619;3;2;4.05;2.32;0.14;0.08
101;"Trent Alexander-Arnold";"Liverpool";33;2405;3;6;1.89;8.06;0.07;0.3
102;"Marco Asensio";"Aston Villa";13;751;3;1;4.56;1.26;0.55;0.15
103;"Pablo Sarabia";"Wolverhampton Wanderers";23;788;3;2;2.18;1.96;0.25;0.22
104;"Martin Odegaard";"Arsenal";30;2343;3;8;5.64;7.85;0.22;0.3
105;"Christopher Nkunku";"Chelsea";27;878;3;2;5.03;2.01;0.52;0.21
106;"Gabriel Jesus";"Arsenal";17;581;3;0;3.38;0.55;0.52;0.09
107;"Dominic Calvert-Lewin";"Everton";26;1625;3;1;8.58;0.74;0.48;0.04
108;"Gabriel";"Arsenal";28;2376;3;1;4.3;1.22;0.16;0.05
109;"Youri Tielemans";"Aston Villa";36;3049;3;7;3.71;8.04;0.11;0.24
110;"Niclas Füllkrug";"West Ham";18;775;3;2;2.16;2.08;0.25;0.24
111;"Jadon Sancho";"Chelsea";31;1760;3;4;2.42;4.31;0.12;0.22
112;"Eddie Nketiah";"Crystal Palace";29;984;3;1;7.15;1.39;0.65;0.13
113;"Trevoh Chalobah";"Chelsea,Crystal Palace";25;1983;3;1;2.55;2.15;0.12;0.1
114;"Curtis Jones";"Liverpool";33;1719;3;3;4.57;1.75;0.24;0.09
115;"Marc Guehi";"Crystal Palace";34;3060;3;2;2.96;2.13;0.09;0.06
116;"Joshua Zirkzee";"Manchester United";32;1378;3;1;5.22;2.01;0.34;0.13
117;"George Hirst";"Ipswich";26;609;3;1;2.75;0.4;0.41;0.06
118;"Jéremy Doku";"Manchester City";29;1518;3;6;1.89;4.65;0.11;0.28
119;"Pape Sarr";"Tottenham";36;1913;3;2;3.99;2.02;0.19;0.09
120;"Amadou Onana";"Aston Villa";26;1650;3;0;2.58;0.68;0.14;0.04
121;"Donyell Malen";"Aston Villa";14;265;3;0;3.02;0.18;1.03;0.06
122;"James McAtee";"Manchester City";15;341;3;0;2.57;0.85;0.68;0.23
123;"Omari Hutchinson";"Ipswich";31;2620;3;2;3.52;3.37;0.12;0.12
124;"Carlos Baleba";"Brighton";34;2717;3;1;2.88;1.63;0.1;0.05
125;"Marcus Tavernier";"Bournemouth";29;1930;3;5;6.41;5.2;0.3;0.24
126;"Joe Ayodele-Aribo";"Southampton";32;2019;3;0;2.93;1.76;0.13;0.08
127;"João Gomes";"Wolverhampton Wanderers";36;3034;3;1;2.87;1.2;0.09;0.04
128;"Dean Huijsen";"Bournemouth";32;2403;3;2;1.57;2.33;0.06;0.09
129;"Jota Silva";"Nottingham Forest";31;799;3;1;2.74;3.36;0.31;0.38
130;"John Stones";"Manchester City";11;539;2;0;0.67;0.08;0.11;0.01
131;"Ola Aina";"Nottingham Forest";35;3020;2;1;0.46;2.05;0.01;0.06
132;"Adama Traoré";"Fulham";36;1761;2;7;5.66;6.42;0.29;0.33
133;"Andreas Pereira";"Fulham";33;2063;2;4;4.45;5.72;0.19;0.25
134;"Emerson";"West Ham";31;2167;2;1;2.13;1.21;0.09;0.05
135;"Adam Armstrong";"Southampton";20;1282;2;2;3.93;2.01;0.28;0.14
136;"Aaron Wan-Bissaka";"West Ham";36;3156;2;5;1.35;4.09;0.04;0.12
137;"Yves Bissouma";"Tottenham";28;1404;2;0;0.45;0.29;0.03;0.02
138;"Gonçalo Guedes";"Wolverhampton Wanderers";29;968;2;4;3.33;1.43;0.31;0.13
139;"Jan Bednarek";"Southampton";30;2538;2;0;1.03;0.35;0.04;0.01
140;"Rodrigo Bentancur";"Tottenham";26;1674;2;0;1.3;0.35;0.07;0.02
141;"Enes Ünal";"Bournemouth";17;292;2;1;2.02;0.55;0.62;0.17
142;"David Brooks";"Bournemouth";29;937;2;0;2.87;1.77;0.28;0.17
143;"Tom Cairney";"Fulham";25;568;2;0;0.8;1.63;0.13;0.26
144;"Matt Doherty";"Wolverhampton Wanderers";30;2140;2;1;1.58;1.72;0.07;0.07
145;"William Saliba";"Arsenal";35;3044;2;0;3.2;0.75;0.09;0.02
146;"Pedro Porro";"Tottenham";33;2611;2;6;1.84;6.58;0.06;0.23
147;"Ezri Konsa Ngoyo";"Aston Villa";34;2934;2;0;1.1;0.41;0.03;0.01
148;"James Justin";"Leicester";36;2937;2;2;2.05;0.96;0.06;0.03
149;"Jean-Ricner Bellegarde";"Wolverhampton Wanderers";35;1693;2;7;1.79;4.05;0.1;0.22
150;"Matthijs de Ligt";"Manchester United";29;2141;2;0;2.87;0.28;0.12;0.01
151;"Marshall Munetsi";"Wolverhampton Wanderers";14;1076;2;1;2.83;1.99;0.24;0.17
152;"Riccardo Calafiori";"Arsenal";19;986;2;1;0.77;0.41;0.07;0.04
153;"Tariq Lamptey";"Brighton";15;870;2;2;0.34;0.9;0.04;0.09
154;"Hee-Chan Hwang";"Wolverhampton Wanderers";21;623;2;0;0.8;0.29;0.12;0.04
155;"Mikkel Damsgaard";"Brentford";38;2978;2;9;3.48;9.25;0.11;0.28
156;"Elliot Anderson";"Nottingham Forest";37;2773;2;6;2.23;4.13;0.07;0.13
157;"Nathan Broadhead";"Ipswich";18;677;2;0;1.83;0.84;0.24;0.11
158;"Jaden Philogene-Bidace";"Aston Villa,Ipswich";21;786;2;0;2.8;0.33;0.32;0.04
159;"Fabio Carvalho";"Brentford";19;399;2;1;2.35;0.68;0.53;0.15
160;"Ethan Pinnock";"Brentford";22;1912;2;0;0.94;1.51;0.04;0.07
161;"Nathan Collins";"Brentford";38;3420;2;3;2.65;1.97;0.07;0.05
162;"Mathys Tel";"Tottenham";13;920;2;1;2.8;2.51;0.27;0.25
163;"Cameron Archer";"Southampton";35;1409;2;0;6.93;0.47;0.44;0.03
164;"Tyler Dibling";"Southampton";33;1860;2;0;3.09;1.98;0.15;0.1
165;"Ryan Christie";"Bournemouth";29;2150;2;3;1.63;3.82;0.07;0.16
166;"Lisandro Martínez";"Manchester United";20;1762;2;1;1.69;1.36;0.09;0.07
167;"Levi Colwill";"Chelsea";35;3150;2;1;2.49;1.07;0.07;0.03
168;"Ryan Yates";"Nottingham Forest";35;1883;2;1;2.86;1.08;0.14;0.05
