"date","season","matchday","goalkeeper","penaltytaker","homegame","result","minute","goaldiff","gkclub","ptclub","gkage","ptage","gkexp","ptexp"
2011-08-27,"11/12",4,"Varvodic, Miro","Petric, Mladen",1,"Tor",11,0,"1.FC Köln","Hamburger SV",22,30,1,10
2011-08-27,"11/12",4,"Trapp2, Kevin","Gomez, Mario",2,"Tor",37,0,"1.FC Kaiserslautern","FC Bayern München",21,26,1,8
2011-08-27,"11/12",4,"Trapp2, Kevin","Gomez, Mario",2,"gehalten",55,-1,"1.FC Kaiserslautern","FC Bayern München",21,26,1,8
2011-09-10,"11/12",5,"Baumann, Oliver","Gomez, Mario",1,"Tor",71,-5,"SC Freiburg","FC Bayern München",21,26,2,8
2011-09-10,"11/12",5,"Müller10, Heinz","Babel, Ryan",2,"Tor",45,-1,"1.FSV Mainz 05","TSG 1899 Hoffenheim",33,24,8,8
2011-09-11,"11/12",5,"Rensing, Michael","Simons, Timmy",2,"Tor",31,0,"1.FC Köln","1.FC Nürnberg",27,34,8,11
2011-09-11,"11/12",5,"Rensing, Michael","Simons, Timmy",2,"Tor",35,-1,"1.FC Köln","1.FC Nürnberg",27,34,8,11
2011-09-24,"11/12",7,"Stephan, Alexander","Daems, Filip",1,"Tor",76,0,"1.FC Nürnberg","Borussia Mönchengladbach",25,33,2,11
2011-10-01,"11/12",8,"Weidenfeller, Roman","Sankoh, Gibril",2,"gehalten",48,2,"Borussia Dortmund","FC Augsburg",31,28,11,7
2011-10-02,"11/12",8,"Mielitz, Sebastian","Abdellaoue, Mohammed",1,"Tor",2,0,"SV Werder Bremen","Hannover 96",22,26,2,4
2011-10-15,"11/12",9,"Kraft2, Thomas","Gomez, Mario",1,"Tor",69,-3,"Hertha BSC","FC Bayern München",23,26,1,8
2011-10-15,"11/12",9,"Müller10, Heinz","Callsen-Bracker, Jan-Ingwer",2,"Tor",88,0,"1.FSV Mainz 05","FC Augsburg",33,27,8,8
2011-10-15,"11/12",9,"Starke, Tom","Pogrebnyak, Pavel",1,"Tor",77,-1,"TSG 1899 Hoffenheim","VfB Stuttgart",30,28,8,7
2011-10-15,"11/12",9,"Stephan, Alexander","Mandzukic, Marijo",1,"Tor",83,0,"1.FC Nürnberg","VfL Wolfsburg",25,25,2,5
2011-10-15,"11/12",9,"Unnerstall, Lars","Tiffert, Christian",2,"Tor",30,0,"FC Schalke 04","1.FC Kaiserslautern",21,29,0,11
2011-10-15,"11/12",9,"Trapp2, Kevin","Huntelaar, Klaas-Jan",1,"Tor",62,1,"1.FC Kaiserslautern","FC Schalke 04",21,28,1,9
2011-10-16,"11/12",9,"Drobny, Jaroslav","Cissé, Papiss Demba",1,"vorbei",81,1,"Hamburger SV","SC Freiburg",32,26,10,6
